Iteration 1, Training loss 0.6931, Training accuracy 0.5534, Validation accuracy 0.7319
Iteration 33, Training loss 0.2470, Training accuracy 0.9299, Validation accuracy 0.7319
Iteration 34, Training loss 0.5652, Training accuracy 0.6169, Validation accuracy 0.7319
Iteration 35, Training loss 0.1435, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 36, Training loss 0.5422, Training accuracy 0.6371, Validation accuracy 0.7319
Iteration 37, Training loss 0.2075, Training accuracy 0.9152, Validation accuracy 0.7319
Iteration 38, Training loss 0.4832, Training accuracy 0.7010, Validation accuracy 0.7319
Iteration 39, Training loss 0.0991, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 40, Training loss 0.3692, Training accuracy 0.7826, Validation accuracy 0.7319
Iteration 41, Training loss 0.3374, Training accuracy 0.8104, Validation accuracy 0.7319
Iteration 42, Training loss 0.2001, Training accuracy 0.9050, Validation accuracy 0.7319
Iteration 43, Training loss 0.3826, Training accuracy 0.7947, Validation accuracy 0.7319
Iteration 44, Training loss 0.4036, Training accuracy 0.7882, Validation accuracy 0.7319
Iteration 45, Training loss 0.0750, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 46, Training loss 0.0819, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 47, Training loss 1.1623, Training accuracy 0.4132, Validation accuracy 0.7319
Iteration 48, Training loss 0.2398, Training accuracy 0.8802, Validation accuracy 0.7319
Iteration 49, Training loss 0.3248, Training accuracy 0.8165, Validation accuracy 0.7319
Iteration 50, Training loss 0.2668, Training accuracy 0.8602, Validation accuracy 0.7319
Iteration 51, Training loss 0.4130, Training accuracy 0.7484, Validation accuracy 0.7319
Iteration 52, Training loss 0.5922, Training accuracy 0.5932, Validation accuracy 0.7319
Iteration 53, Training loss 0.2525, Training accuracy 0.9057, Validation accuracy 0.7319
Iteration 54, Training loss 0.6943, Training accuracy 0.4910, Validation accuracy 0.7319
Iteration 55, Training loss 0.4148, Training accuracy 0.7744, Validation accuracy 0.7319
Iteration 56, Training loss 0.4992, Training accuracy 0.6685, Validation accuracy 0.7319
Iteration 57, Training loss 0.2795, Training accuracy 0.9988, Validation accuracy 0.7319
Iteration 58, Training loss 0.7769, Training accuracy 0.3680, Validation accuracy 0.7319
Iteration 59, Training loss 0.5078, Training accuracy 0.6752, Validation accuracy 0.7319
Iteration 60, Training loss 0.5329, Training accuracy 0.6362, Validation accuracy 0.7319
Iteration 61, Training loss 0.4950, Training accuracy 0.6920, Validation accuracy 0.7319
Iteration 62, Training loss 0.4970, Training accuracy 0.6809, Validation accuracy 0.7319
Iteration 63, Training loss 0.3325, Training accuracy 0.9466, Validation accuracy 0.7319
Iteration 64, Training loss 0.5079, Training accuracy 0.6626, Validation accuracy 0.7319
Iteration 65, Training loss 0.5376, Training accuracy 0.6251, Validation accuracy 0.7319
Iteration 66, Training loss 0.7690, Training accuracy 0.3932, Validation accuracy 0.7319
Iteration 67, Training loss 0.4423, Training accuracy 0.7320, Validation accuracy 0.7319
Iteration 68, Training loss 0.6763, Training accuracy 0.5030, Validation accuracy 0.7319
Iteration 69, Training loss 0.4124, Training accuracy 0.7651, Validation accuracy 0.7319
Iteration 70, Training loss 0.6496, Training accuracy 0.5117, Validation accuracy 0.7319
Iteration 71, Training loss 0.5498, Training accuracy 0.6127, Validation accuracy 0.7319
Iteration 72, Training loss 0.4711, Training accuracy 0.6920, Validation accuracy 0.7319
Iteration 73, Training loss 0.2688, Training accuracy 0.9964, Validation accuracy 0.7319
Iteration 74, Training loss 0.4966, Training accuracy 0.6675, Validation accuracy 0.7319
Iteration 75, Training loss 0.6194, Training accuracy 0.5456, Validation accuracy 0.7319
Iteration 76, Training loss 0.2213, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 77, Training loss 0.4850, Training accuracy 0.6785, Validation accuracy 0.7319
Iteration 78, Training loss 0.2338, Training accuracy 0.9159, Validation accuracy 0.7319
Iteration 79, Training loss 0.3531, Training accuracy 0.7970, Validation accuracy 0.7319
Iteration 80, Training loss 0.4505, Training accuracy 0.7173, Validation accuracy 0.7319
Iteration 81, Training loss 0.1231, Training accuracy 0.9678, Validation accuracy 0.7319
Iteration 82, Training loss 0.6315, Training accuracy 0.6247, Validation accuracy 0.7319
Iteration 83, Training loss 0.4865, Training accuracy 0.7206, Validation accuracy 0.7319
Iteration 84, Training loss 0.4018, Training accuracy 0.7718, Validation accuracy 0.7319
Iteration 85, Training loss 0.3737, Training accuracy 0.7957, Validation accuracy 0.7319
Iteration 86, Training loss 0.4218, Training accuracy 0.7515, Validation accuracy 0.7319
Iteration 87, Training loss 0.2914, Training accuracy 0.8458, Validation accuracy 0.7319
Iteration 88, Training loss 0.3810, Training accuracy 0.7723, Validation accuracy 0.7319
Iteration 89, Training loss 0.4710, Training accuracy 0.7047, Validation accuracy 0.7319
Iteration 90, Training loss 0.5035, Training accuracy 0.6722, Validation accuracy 0.7319
Iteration 91, Training loss 0.3475, Training accuracy 0.8030, Validation accuracy 0.7319
Iteration 92, Training loss 0.3158, Training accuracy 0.8555, Validation accuracy 0.7319
Iteration 93, Training loss 0.2515, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 94, Training loss 0.5223, Training accuracy 0.6341, Validation accuracy 0.7319
Iteration 95, Training loss 0.2879, Training accuracy 0.8923, Validation accuracy 0.7319
Iteration 96, Training loss 0.6730, Training accuracy 0.5107, Validation accuracy 0.7319
Iteration 97, Training loss 0.3335, Training accuracy 0.8428, Validation accuracy 0.7319
Iteration 98, Training loss 0.3745, Training accuracy 0.8045, Validation accuracy 0.7319
Iteration 99, Training loss 0.1953, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 100, Training loss 0.3865, Training accuracy 0.7669, Validation accuracy 0.7319
Iteration 101, Training loss 0.4481, Training accuracy 0.7202, Validation accuracy 0.7319
Iteration 102, Training loss 0.4431, Training accuracy 0.7276, Validation accuracy 0.7319
Iteration 103, Training loss 0.8987, Training accuracy 0.4520, Validation accuracy 0.7319
Iteration 104, Training loss 0.8498, Training accuracy 0.4651, Validation accuracy 0.7319
Iteration 105, Training loss 0.1935, Training accuracy 0.9424, Validation accuracy 0.7319
Iteration 106, Training loss 0.9015, Training accuracy 0.3986, Validation accuracy 0.7319
Iteration 107, Training loss 0.2970, Training accuracy 0.8903, Validation accuracy 0.7319
Iteration 108, Training loss 0.4723, Training accuracy 0.6911, Validation accuracy 0.7319
Iteration 109, Training loss 0.3358, Training accuracy 0.8584, Validation accuracy 0.7319
Iteration 110, Training loss 0.3875, Training accuracy 0.8432, Validation accuracy 0.7319
Iteration 111, Training loss 0.3872, Training accuracy 0.8109, Validation accuracy 0.7319
Iteration 112, Training loss 0.6504, Training accuracy 0.5057, Validation accuracy 0.7319
Iteration 113, Training loss 0.3050, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 114, Training loss 0.3829, Training accuracy 0.8475, Validation accuracy 0.7319
Iteration 115, Training loss 0.6249, Training accuracy 0.5338, Validation accuracy 0.7319
Iteration 116, Training loss 0.5778, Training accuracy 0.5746, Validation accuracy 0.7319
Iteration 117, Training loss 0.4135, Training accuracy 0.7656, Validation accuracy 0.7319
Iteration 118, Training loss 0.3789, Training accuracy 0.8119, Validation accuracy 0.7319
Iteration 119, Training loss 0.4475, Training accuracy 0.7155, Validation accuracy 0.7319
Iteration 120, Training loss 0.5192, Training accuracy 0.6511, Validation accuracy 0.7319
Iteration 121, Training loss 0.2490, Training accuracy 0.8963, Validation accuracy 0.7319
Iteration 122, Training loss 0.3287, Training accuracy 0.8257, Validation accuracy 0.7319
Iteration 123, Training loss 0.4780, Training accuracy 0.6881, Validation accuracy 0.7319
Iteration 124, Training loss 0.7293, Training accuracy 0.5331, Validation accuracy 0.7319
Iteration 125, Training loss 0.2504, Training accuracy 0.8813, Validation accuracy 0.7319
Iteration 126, Training loss 0.3135, Training accuracy 0.8253, Validation accuracy 0.7319
Iteration 127, Training loss 0.3867, Training accuracy 0.7684, Validation accuracy 0.7319
Iteration 128, Training loss 0.1116, Training accuracy 0.9764, Validation accuracy 0.7319
Iteration 129, Training loss 0.4426, Training accuracy 0.7402, Validation accuracy 0.7319
Iteration 130, Training loss 0.1724, Training accuracy 0.9314, Validation accuracy 0.7319
Iteration 131, Training loss 0.0859, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 132, Training loss 0.3622, Training accuracy 0.7940, Validation accuracy 0.7319
Iteration 133, Training loss 0.5538, Training accuracy 0.6832, Validation accuracy 0.7319
Iteration 134, Training loss 0.3661, Training accuracy 0.8010, Validation accuracy 0.7319
Iteration 135, Training loss 0.6410, Training accuracy 0.6438, Validation accuracy 0.7319
Iteration 136, Training loss 0.4634, Training accuracy 0.7342, Validation accuracy 0.7319
Iteration 137, Training loss 1.0536, Training accuracy 0.3614, Validation accuracy 0.7319
Iteration 138, Training loss 0.4768, Training accuracy 0.6872, Validation accuracy 0.7319
Iteration 139, Training loss 0.3979, Training accuracy 0.7722, Validation accuracy 0.7319
Iteration 140, Training loss 0.4196, Training accuracy 0.7827, Validation accuracy 0.7319
Iteration 141, Training loss 0.3773, Training accuracy 0.8845, Validation accuracy 0.7319
Iteration 142, Training loss 0.4549, Training accuracy 0.7926, Validation accuracy 0.7319
Iteration 143, Training loss 0.4973, Training accuracy 0.7356, Validation accuracy 0.7319
Iteration 144, Training loss 0.4290, Training accuracy 0.8681, Validation accuracy 0.7319
Iteration 145, Training loss 0.4305, Training accuracy 0.9189, Validation accuracy 0.7319
Iteration 146, Training loss 0.4318, Training accuracy 0.9397, Validation accuracy 0.7319
Iteration 147, Training loss 0.4392, Training accuracy 0.8593, Validation accuracy 0.7319
Iteration 148, Training loss 0.4524, Training accuracy 0.7988, Validation accuracy 0.7319
Iteration 149, Training loss 0.5971, Training accuracy 0.5491, Validation accuracy 0.7319
Iteration 150, Training loss 0.4415, Training accuracy 0.7509, Validation accuracy 0.7319
Iteration 151, Training loss 0.5107, Training accuracy 0.6544, Validation accuracy 0.7319
Iteration 152, Training loss 0.4300, Training accuracy 0.7531, Validation accuracy 0.7319
Iteration 153, Training loss 0.3961, Training accuracy 0.7786, Validation accuracy 0.7319
Iteration 154, Training loss 0.5026, Training accuracy 0.6613, Validation accuracy 0.7319
Iteration 155, Training loss 0.2872, Training accuracy 0.8560, Validation accuracy 0.7319
Iteration 156, Training loss 0.3509, Training accuracy 0.7926, Validation accuracy 0.7319
Iteration 157, Training loss 0.1999, Training accuracy 0.9213, Validation accuracy 0.7319
Iteration 158, Training loss 0.4268, Training accuracy 0.7417, Validation accuracy 0.7319
Iteration 159, Training loss 0.0734, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 160, Training loss 0.5334, Training accuracy 0.7187, Validation accuracy 0.7319
Iteration 161, Training loss 0.2097, Training accuracy 0.8961, Validation accuracy 0.7319
Iteration 162, Training loss 0.4863, Training accuracy 0.7621, Validation accuracy 0.7319
Iteration 163, Training loss 0.2937, Training accuracy 0.8595, Validation accuracy 0.7319
Iteration 164, Training loss 0.1619, Training accuracy 0.9245, Validation accuracy 0.7319
Iteration 165, Training loss 0.7493, Training accuracy 0.6177, Validation accuracy 0.7319
Iteration 166, Training loss 0.1173, Training accuracy 0.9572, Validation accuracy 0.7319
Iteration 167, Training loss 0.6110, Training accuracy 0.6681, Validation accuracy 0.7319
Iteration 168, Training loss 0.4301, Training accuracy 0.7386, Validation accuracy 0.7319
Iteration 169, Training loss 0.1684, Training accuracy 0.9555, Validation accuracy 0.7319
Iteration 170, Training loss 0.3146, Training accuracy 0.8317, Validation accuracy 0.7319
Iteration 171, Training loss 0.2640, Training accuracy 0.8986, Validation accuracy 0.7319
Iteration 172, Training loss 0.3437, Training accuracy 0.8223, Validation accuracy 0.7319
Iteration 173, Training loss 0.4502, Training accuracy 0.7109, Validation accuracy 0.7319
Iteration 174, Training loss 0.4354, Training accuracy 0.7248, Validation accuracy 0.7319
Iteration 175, Training loss 0.2895, Training accuracy 0.8959, Validation accuracy 0.7319
Iteration 176, Training loss 0.3120, Training accuracy 0.8694, Validation accuracy 0.7319
Iteration 177, Training loss 0.5027, Training accuracy 0.6529, Validation accuracy 0.7319
Iteration 178, Training loss 0.7105, Training accuracy 0.4770, Validation accuracy 0.7319
Iteration 179, Training loss 0.2330, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 180, Training loss 0.3544, Training accuracy 0.7904, Validation accuracy 0.7319
Iteration 181, Training loss 0.5035, Training accuracy 0.6629, Validation accuracy 0.7319
Iteration 182, Training loss 0.3289, Training accuracy 0.8164, Validation accuracy 0.7319
Iteration 183, Training loss 0.3279, Training accuracy 0.8280, Validation accuracy 0.7319
Iteration 184, Training loss 0.1565, Training accuracy 0.9891, Validation accuracy 0.7319
Iteration 185, Training loss 0.2091, Training accuracy 0.9122, Validation accuracy 0.7319
Iteration 186, Training loss 0.1563, Training accuracy 0.9499, Validation accuracy 0.7319
Iteration 187, Training loss 0.4796, Training accuracy 0.7258, Validation accuracy 0.7319
Iteration 188, Training loss 0.2059, Training accuracy 0.8991, Validation accuracy 0.7319
Iteration 189, Training loss 0.5937, Training accuracy 0.7130, Validation accuracy 0.7319
Iteration 190, Training loss 0.7587, Training accuracy 0.6180, Validation accuracy 0.7319
Iteration 191, Training loss 0.5340, Training accuracy 0.6993, Validation accuracy 0.7319
Iteration 192, Training loss 1.1133, Training accuracy 0.3900, Validation accuracy 0.7319
Iteration 193, Training loss 0.5073, Training accuracy 0.6711, Validation accuracy 0.7319
Iteration 194, Training loss 0.2914, Training accuracy 0.8534, Validation accuracy 0.7319
Iteration 195, Training loss 0.4947, Training accuracy 0.6546, Validation accuracy 0.7319
Iteration 196, Training loss 0.4449, Training accuracy 0.7398, Validation accuracy 0.7319
Iteration 197, Training loss 0.4837, Training accuracy 0.7065, Validation accuracy 0.7319
Iteration 198, Training loss 0.4210, Training accuracy 0.8689, Validation accuracy 0.7319
Iteration 199, Training loss 0.4062, Training accuracy 0.9611, Validation accuracy 0.7319
Iteration 200, Training loss 0.5320, Training accuracy 0.6853, Validation accuracy 0.7319
Iteration 201, Training loss 0.3865, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 202, Training loss 0.4695, Training accuracy 0.8750, Validation accuracy 0.7319
Iteration 203, Training loss 0.4241, Training accuracy 0.9490, Validation accuracy 0.7319
Iteration 204, Training loss 0.5609, Training accuracy 0.6264, Validation accuracy 0.7319
Iteration 205, Training loss 0.3849, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 206, Training loss 0.5179, Training accuracy 0.6813, Validation accuracy 0.7319
Iteration 207, Training loss 0.5174, Training accuracy 0.6753, Validation accuracy 0.7319
Iteration 208, Training loss 0.4428, Training accuracy 0.7890, Validation accuracy 0.7319
Iteration 209, Training loss 0.3778, Training accuracy 0.8537, Validation accuracy 0.7319
Iteration 210, Training loss 0.3381, Training accuracy 0.8766, Validation accuracy 0.7319
Iteration 211, Training loss 0.2825, Training accuracy 0.9574, Validation accuracy 0.7319
Iteration 212, Training loss 0.3010, Training accuracy 0.8703, Validation accuracy 0.7319
Iteration 213, Training loss 0.1956, Training accuracy 0.9530, Validation accuracy 0.7319
Iteration 214, Training loss 0.2327, Training accuracy 0.8781, Validation accuracy 0.7319
Iteration 215, Training loss 0.1780, Training accuracy 0.9110, Validation accuracy 0.7319
Iteration 216, Training loss 0.4885, Training accuracy 0.7535, Validation accuracy 0.7319
Iteration 217, Training loss 0.6382, Training accuracy 0.7152, Validation accuracy 0.7319
Iteration 218, Training loss 0.0153, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 219, Training loss 0.4231, Training accuracy 0.8110, Validation accuracy 0.7319
Iteration 220, Training loss 0.6715, Training accuracy 0.7261, Validation accuracy 0.7319
Iteration 221, Training loss 0.8136, Training accuracy 0.6581, Validation accuracy 0.7319
Iteration 222, Training loss 0.2048, Training accuracy 0.9008, Validation accuracy 0.7319
Iteration 223, Training loss 0.3625, Training accuracy 0.8040, Validation accuracy 0.7319
Iteration 224, Training loss 0.4081, Training accuracy 0.7689, Validation accuracy 0.7319
Iteration 225, Training loss 0.5473, Training accuracy 0.6527, Validation accuracy 0.7319
Iteration 226, Training loss 0.3523, Training accuracy 0.7929, Validation accuracy 0.7319
Iteration 227, Training loss 0.4395, Training accuracy 0.7188, Validation accuracy 0.7319
Iteration 228, Training loss 0.4726, Training accuracy 0.6866, Validation accuracy 0.7319
Iteration 229, Training loss 0.5134, Training accuracy 0.6460, Validation accuracy 0.7319
Iteration 230, Training loss 0.4775, Training accuracy 0.7217, Validation accuracy 0.7319
Iteration 231, Training loss 0.3838, Training accuracy 0.9479, Validation accuracy 0.7319
Iteration 232, Training loss 0.5173, Training accuracy 0.6794, Validation accuracy 0.7319
Iteration 233, Training loss 0.4542, Training accuracy 0.8259, Validation accuracy 0.7319
Iteration 234, Training loss 0.4572, Training accuracy 0.8097, Validation accuracy 0.7319
Iteration 235, Training loss 0.6362, Training accuracy 0.4860, Validation accuracy 0.7319
Iteration 236, Training loss 0.5084, Training accuracy 0.7261, Validation accuracy 0.7319
Iteration 237, Training loss 0.5713, Training accuracy 0.5989, Validation accuracy 0.7319
Iteration 238, Training loss 0.5613, Training accuracy 0.6076, Validation accuracy 0.7319
Iteration 239, Training loss 0.3942, Training accuracy 0.9379, Validation accuracy 0.7319
Iteration 240, Training loss 0.5610, Training accuracy 0.5938, Validation accuracy 0.7319
Iteration 241, Training loss 0.3589, Training accuracy 0.9342, Validation accuracy 0.7319
Iteration 242, Training loss 0.4630, Training accuracy 0.7658, Validation accuracy 0.7319
Iteration 243, Training loss 0.3846, Training accuracy 0.8440, Validation accuracy 0.7319
Iteration 244, Training loss 0.3727, Training accuracy 0.8682, Validation accuracy 0.7319
Iteration 245, Training loss 0.4290, Training accuracy 0.7433, Validation accuracy 0.7319
Iteration 246, Training loss 0.4728, Training accuracy 0.6829, Validation accuracy 0.7319
Iteration 247, Training loss 0.2128, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 248, Training loss 0.1423, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 249, Training loss 0.4298, Training accuracy 0.7237, Validation accuracy 0.7319
Iteration 250, Training loss 0.3936, Training accuracy 0.7662, Validation accuracy 0.7319
Iteration 251, Training loss 0.3001, Training accuracy 0.8352, Validation accuracy 0.7319
Iteration 252, Training loss 0.1496, Training accuracy 0.9297, Validation accuracy 0.7319
Iteration 253, Training loss 0.0214, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 254, Training loss 0.6590, Training accuracy 0.7192, Validation accuracy 0.7319
Iteration 255, Training loss 0.5307, Training accuracy 0.7662, Validation accuracy 0.7319
Iteration 256, Training loss 0.1934, Training accuracy 0.9026, Validation accuracy 0.7319
Iteration 257, Training loss 0.9345, Training accuracy 0.5551, Validation accuracy 0.7319
Iteration 258, Training loss 0.0785, Training accuracy 0.9775, Validation accuracy 0.7319
Iteration 259, Training loss 0.5996, Training accuracy 0.6102, Validation accuracy 0.7319
Iteration 260, Training loss 0.6141, Training accuracy 0.5826, Validation accuracy 0.7319
Iteration 261, Training loss 0.4869, Training accuracy 0.6551, Validation accuracy 0.7319
Iteration 262, Training loss 0.4245, Training accuracy 0.7397, Validation accuracy 0.7319
Iteration 263, Training loss 0.3283, Training accuracy 0.9026, Validation accuracy 0.7319
Iteration 264, Training loss 0.3818, Training accuracy 0.8935, Validation accuracy 0.7319
Iteration 265, Training loss 0.5844, Training accuracy 0.5435, Validation accuracy 0.7319
Iteration 266, Training loss 0.5412, Training accuracy 0.5965, Validation accuracy 0.7319
Iteration 267, Training loss 0.4880, Training accuracy 0.7373, Validation accuracy 0.7319
Iteration 268, Training loss 0.5772, Training accuracy 0.5363, Validation accuracy 0.7319
Iteration 269, Training loss 0.4393, Training accuracy 0.8004, Validation accuracy 0.7319
Iteration 270, Training loss 0.3654, Training accuracy 0.9041, Validation accuracy 0.7319
Iteration 271, Training loss 0.3053, Training accuracy 0.9049, Validation accuracy 0.7319
Iteration 272, Training loss 0.2623, Training accuracy 0.9624, Validation accuracy 0.7319
Iteration 273, Training loss 0.5735, Training accuracy 0.5257, Validation accuracy 0.7319
Iteration 274, Training loss 0.4025, Training accuracy 0.7289, Validation accuracy 0.7319
Iteration 275, Training loss 0.4370, Training accuracy 0.7004, Validation accuracy 0.7319
Iteration 276, Training loss 0.3754, Training accuracy 0.7327, Validation accuracy 0.7319
Iteration 277, Training loss 0.3530, Training accuracy 0.7815, Validation accuracy 0.7319
Iteration 278, Training loss 0.3251, Training accuracy 0.7993, Validation accuracy 0.7319
Iteration 279, Training loss 0.7274, Training accuracy 0.5280, Validation accuracy 0.7319
Iteration 280, Training loss 0.2440, Training accuracy 0.8581, Validation accuracy 0.7319
Iteration 281, Training loss 0.1845, Training accuracy 0.9057, Validation accuracy 0.7319
Iteration 282, Training loss 0.5507, Training accuracy 0.6279, Validation accuracy 0.7319
Iteration 283, Training loss 0.5637, Training accuracy 0.6052, Validation accuracy 0.7319
Iteration 284, Training loss 0.5538, Training accuracy 0.6151, Validation accuracy 0.7319
Iteration 285, Training loss 0.2014, Training accuracy 0.8953, Validation accuracy 0.7319
Iteration 286, Training loss 0.5096, Training accuracy 0.6105, Validation accuracy 0.7319
Iteration 287, Training loss 0.2482, Training accuracy 0.8943, Validation accuracy 0.7319
Iteration 288, Training loss 0.3585, Training accuracy 0.7145, Validation accuracy 0.7319
Iteration 289, Training loss 0.5472, Training accuracy 0.5552, Validation accuracy 0.7319
Iteration 290, Training loss 0.2836, Training accuracy 0.8384, Validation accuracy 0.7319
Iteration 291, Training loss 0.2600, Training accuracy 0.8855, Validation accuracy 0.7319
Iteration 292, Training loss 0.1808, Training accuracy 0.9395, Validation accuracy 0.7319
Iteration 293, Training loss 0.4381, Training accuracy 0.6521, Validation accuracy 0.7319
Iteration 294, Training loss 0.3974, Training accuracy 0.6495, Validation accuracy 0.7319
Iteration 295, Training loss 0.3228, Training accuracy 0.7391, Validation accuracy 0.7319
Iteration 296, Training loss 0.3181, Training accuracy 0.7698, Validation accuracy 0.7319
Iteration 297, Training loss 0.4041, Training accuracy 0.6613, Validation accuracy 0.7319
Iteration 298, Training loss 0.3545, Training accuracy 0.7384, Validation accuracy 0.7319
Iteration 299, Training loss 0.0522, Training accuracy 0.9753, Validation accuracy 0.7319
Iteration 300, Training loss 0.3173, Training accuracy 0.7066, Validation accuracy 0.7319
Iteration 301, Training loss 0.0210, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 302, Training loss 0.0858, Training accuracy 0.9577, Validation accuracy 0.7319
Iteration 303, Training loss 0.4080, Training accuracy 0.5988, Validation accuracy 0.7319
Iteration 304, Training loss 0.3202, Training accuracy 0.6776, Validation accuracy 0.7319
Iteration 305, Training loss 0.0364, Training accuracy 0.9929, Validation accuracy 0.7319
Iteration 306, Training loss 0.3998, Training accuracy 0.7882, Validation accuracy 0.7319
Iteration 307, Training loss 0.3231, Training accuracy 0.7481, Validation accuracy 0.7319
Iteration 308, Training loss 0.3297, Training accuracy 0.6627, Validation accuracy 0.7319
Iteration 309, Training loss 0.0493, Training accuracy 0.9527, Validation accuracy 0.7319
Iteration 310, Training loss 0.0538, Training accuracy 0.9678, Validation accuracy 0.7319
Iteration 311, Training loss 0.0331, Training accuracy 0.9758, Validation accuracy 0.7319
Iteration 312, Training loss 0.1340, Training accuracy 0.9520, Validation accuracy 0.7319
Iteration 313, Training loss 0.0241, Training accuracy 0.9828, Validation accuracy 0.7319
Iteration 314, Training loss 0.1807, Training accuracy 0.8335, Validation accuracy 0.7319
Iteration 315, Training loss 0.2372, Training accuracy 0.8038, Validation accuracy 0.7319
Iteration 316, Training loss 0.2938, Training accuracy 0.7387, Validation accuracy 0.7319
Iteration 317, Training loss 0.3224, Training accuracy 0.7017, Validation accuracy 0.7319
Iteration 318, Training loss 0.2459, Training accuracy 0.8114, Validation accuracy 0.7319
Iteration 319, Training loss 0.2937, Training accuracy 0.6619, Validation accuracy 0.7319
Iteration 320, Training loss 0.2869, Training accuracy 0.6819, Validation accuracy 0.7319
Iteration 321, Training loss 0.2194, Training accuracy 0.7513, Validation accuracy 0.7319
Iteration 322, Training loss 0.0991, Training accuracy 0.8912, Validation accuracy 0.7319
Iteration 323, Training loss 0.3701, Training accuracy 0.5985, Validation accuracy 0.7319
Iteration 324, Training loss 0.3905, Training accuracy 0.6197, Validation accuracy 0.7319
Iteration 325, Training loss 0.2014, Training accuracy 0.7532, Validation accuracy 0.7319
Iteration 326, Training loss 0.2436, Training accuracy 0.6959, Validation accuracy 0.7319
Iteration 327, Training loss 0.3525, Training accuracy 0.5840, Validation accuracy 0.7319
Iteration 328, Training loss 0.2834, Training accuracy 0.6638, Validation accuracy 0.7319
Iteration 329, Training loss 0.1670, Training accuracy 0.8058, Validation accuracy 0.7319
Iteration 330, Training loss 0.2000, Training accuracy 0.8602, Validation accuracy 0.7319
Iteration 331, Training loss 0.4081, Training accuracy 0.5641, Validation accuracy 0.7319
Iteration 332, Training loss 0.2448, Training accuracy 0.6890, Validation accuracy 0.7319
