TrainLoss,TrainError,ValidError,NumIterations,DescentType,LearningRate,BatchSize,Layers,SubsetSize,InitStddev,BatchSize,Duration
2.2998,0.8946,0.8970,20,gd,0.1,,[600_relu|300_relu|10_None],10000,0.01,,156.08
2.2981,0.8874,0.8933,20,gd,0.1,,[600_relu|500_relu|10_None],10000,0.01,,189.95
2.3019,0.8876,0.8936,20,gd,0.1,,[600_relu|100_relu|100_relu|10_None],10000,0.01,,127.36
2.3019,0.8876,0.8936,20,gd,0.1,,[600_relu|100_relu|100_relu|100_relu|10_None],10000,0.01,,137.59
2.3019,0.8876,0.8936,20,gd,0.1,,[600_relu|600_relu|600_relu|10_None],10000,0.01,,285.82
2.3018,0.8876,0.8936,20,gd,0.1,,[600_relu|400_relu|200_relu|10_None],10000,0.01,,176.43
2.3019,0.8876,0.8936,20,gd,0.1,,[100_relu|100_relu|100_relu|100_relu|100_relu|100_relu|10_None],10000,0.01,,37.13

# Use single intermediate layer (600 units) and trying sigmoid and tanh
# activation functions:
2.2829,0.8876,0.8936,20,gd,0.1,,[600_sigmoid|10_None],10000,0.01,,136.55
1.9528,0.2989,0.2726,20,gd,0.1,,[600_tanh|10_None],10000,0.01,,131.77
2.2366,0.4326,0.4122,20,gd,0.1,,[100_tanh|10_None],10000,0.01,,23.18

# Trying to add additional layers, now using tanh as activation functions
2.2977,0.8622,0.8712,20,gd,0.1,,[600_tanh|100_tanh|10_None],10000,0.01,,145.44
2.2794,0.5081,0.5050,20,gd,0.1,,[600_tanh|500_tanh|10_None],10000,0.01,,215.29
2.3009,0.8876,0.8936,20,gd,0.1,,[600_tanh|500_tanh|400_tanh|10_None],10000,0.01,,270.99
2.3019,0.8876,0.8936,20,gd,0.1,,[100_tanh|100_tanh|100_tanh|10_None],10000,0.01,,35.33
2.2768,0.4409,0.4273,20,gd,0.1,,[600_tanh|600_tanh|10_None],10000,0.01,,258.33
2.2647,0.4228,0.4196,20,gd,0.1,,[600_tanh|800_tanh|10_None],10000,0.01,,261.05
2.2889,0.5385,0.5308,20,gd,0.1,,[300_tanh|600_tanh|10_None],10000,0.01,,128.95

# Using one layer with 600 units and increasing learning rate
1.3576,0.2780,0.2528,20,gd,0.2,,[600_tanh|10_None],10000,0.01,,128.09
0.9572,0.2107,0.1861,20,gd,0.3,,[600_tanh|10_None],10000,0.01,,129.47
0.7552,0.1753,0.1547,20,gd,0.4,,[600_tanh|10_None],10000,0.01,,144.89
0.5718,0.1419,0.1263,20,gd,0.6,,[600_tanh|10_None],10000,0.01,,125.85
1.1223,0.3262,0.3127,20,gd,0.8,,[600_tanh|10_None],10000,0.01,,127.49

# Trying to get the error as close as possible now (as fast as possible)
0.4418,0.1161,0.1079,40,gd,0.5,,[600_tanh|10_None],10000,0.01,,253.60
0.4623,0.1206,0.1102,30,gd,0.6,,[600_tanh|10_None],10000,0.01,,183.07
0.5421,0.1677,0.1560,30,gd,0.7,,[600_tanh|10_None],10000,0.01,,184.95
0.4599,0.1197,0.1083,40,gd,0.4,,[1200_tanh|10_None],10000,0.01,,477.74
0.4633,0.1469,0.1379,40,gd,0.6,,[1600_tanh|10_None],10000,0.01,,655.07
0.4418,0.1161,0.1079,40,gd,0.5,,[600_tanh|10_None],10000,0.01,,251.05

# Switched to stochastic gradient descent
0.0452,0.0092,0.0488,15,sgd,0.4,64,[600_tanh|10_None],10000,0.01,64,115.29
0.0427,0.0100,0.0477,15,sgd,0.4,64,[600_tanh|10_None],10000,0.01,64,115.70
0.0954,0.0284,0.0606,15,sgd,0.3,64,[1000_tanh|10_None],10000,0.01,64,174.81
0.0316,0.0070,0.0477,20,sgd,0.4,64,[1000_tanh|10_None],10000,0.01,64,231.86
0.0076,0.0002,0.0437,30,sgd,0.4,64,[600_tanh|10_None],10000,0.01,64,209.11
